NUMERO_MANDATO;BENEFICIARIO;PARTITA_IVA_O_CF;IMPORTO;ATTO_DI_IMPEGNO;DIREZIONE_SERVIZIO_RESP_PROC;DOCUMENTO
023078;AFFITTACAMERE VANNUCCI MARTA;04006490488;400;DD/12/008037;S.FAMIGLIA E ACCOGL.;FATTURA
017959;AGENZIA DELLE ENTRATE DI FIRENZE;94021150480;168;DD/12/000227;SER.CONTRATTI APPALTI;FATTURA
020556;AGENZIA PER LO SVILUPPO DELL'EMPOLESE VALDELSA;05181410480;1070;DD/12/005260;S.SUPPORTO AMM/CONT.;FATTURA
024137;AGENZIA STUDENTESCA AUTOGESTITA;05503750480;8000;DD/12/010139;S.FAMIGLIA E ACCOGL.;FATTURA
020385;AGLIETTI VIVAI FIRENZE;05609300487;1977,39;DD/12/007588;SERV.QUALITA' VERDE;FATTURA
020383;AGLIETTI VIVAI FIRENZE;05609300487;84,84;DD/12/004075;SERV.QUALITA' VERDE;FATTURA
014693;AGLIETTI VIVAI FIRENZE;05609300487;16885,07;DD/12/004075;SERV.QUALITA' VERDE;FATTURA
017979;AGRI S.R.L.;01604330488;63013,92;DD/11/011187;DIR.PATR.IMMOBILIARE;FATTURA
018445;AGRICENTER S.R.L.;03090900238;1403,6;DD/12/001289;SERV.CENTR.ACQUISTI;FATTURA
020001;AGRILUCE S.R.L.;01011270285;507,52;DD/11/010465;SERV SUPPORTO SCUOLA;FATTURA
023054;AGRILUCE S.R.L.;01011270285;1268,8;DD/11/010465;SERV SUPPORTO SCUOLA;FATTURA
015546;AGRILUCE S.R.L.;01011270285;1268,8;DD/11/010465;SERV SUPPORTO SCUOLA;FATTURA
019046;AICS COMITATO PROVINCIALE FIRENZE;04652060486;9600;DD/11/010656;DIREZ.ISTRUZIONE;FATTURA
019915;AIDAI TOSCANA;94123070487;1400;DD/11/010641;S.ATT.EDUC.E FORMAT.;FATTURA
018705;AIDAI TOSCANA;94123070487;1000,8;DD/11/010641;S.ATT.EDUC.E FORMAT.;FATTURA
018706;AIDAI TOSCANA;94123070487;204,32;DD/09/011625;S.ATT.EDUC.E FORMAT.;FATTURA
018708;AIDAI TOSCANA;94123070487;195,68;DD/09/011625;S.ATT.EDUC.E FORMAT.;FATTURA
018707;AIDAI TOSCANA;94123070487;2160;DD/09/011625;S.ATT.EDUC.E FORMAT.;FATTURA
018710;AIDAI TOSCANA;94123070487;1280;DD/10/010236;S.ATT.EDUC.E FORMAT.;FATTURA
018709;AIDAI TOSCANA;94123070487;3559,2;DD/11/010641;S.ATT.EDUC.E FORMAT.;FATTURA
020470;AL PORTICO DI VENTURI MAURIZIAI FIORI DELLA SIGNORIA;03433360488;264;DD/12/005959;UFF.AFFARI GEN.E CERIM.;FATTURA
020470;AL PORTICO DI VENTURI MAURIZIAI FIORI DELLA SIGNORIA;03433360488;143;DD/12/005959;UFF.AFFARI GEN.E CERIM.;FATTURA
022694;AL PORTICO DI VENTURI MAURIZIAI FIORI DELLA SIGNORIA;03433360488;143;DD/12/005959;UFF.AFFARI GEN.E CERIM.;FATTURA
022695;AL PORTICO DI VENTURI MAURIZIAI FIORI DELLA SIGNORIA;03433360488;132;DD/12/008308;UFF.AFFARI GEN.E CERIM.;FATTURA
022694;AL PORTICO DI VENTURI MAURIZIAI FIORI DELLA SIGNORIA;03433360488;176;DD/12/005959;UFF.AFFARI GEN.E CERIM.;FATTURA
015741;AL PORTICO DI VENTURI MAURIZIAI FIORI DELLA SIGNORIA;03433360488;429;DD/12/005116;UFFICIO DI GABINETTO;FATTURA
022440;ALA GOLDEN TOUR SRL;01909940510;-510,45;DD/12/004491;DIR.SERV.SOCIALI;NOTA DI CREDITO
022440;ALA GOLDEN TOUR SRL;01909940510;848,7;DD/12/004491;DIR.SERV.SOCIALI;FATTURA
022440;ALA GOLDEN TOUR SRL;01909940510;4743;DD/12/004491;DIR.SERV.SOCIALI;FATTURA
023382;ALA GOLDEN TOUR SRL;01909940510;4012,48;DD/12/004491;DIR.SERV.SOCIALI;FATTURA
023382;ALA GOLDEN TOUR SRL;01909940510;3096,12;DD/12/004491;DIR.SERV.SOCIALI;FATTURA
023382;ALA GOLDEN TOUR SRL;01909940510;-175;DD/12/004491;DIR.SERV.SOCIALI;NOTA DI CREDITO
023367;ALA GOLDEN TOUR SRL;01909940510;2514,7;DD/12/004491;DIR.SERV.SOCIALI;FATTURA
023367;ALA GOLDEN TOUR SRL;01909940510;979,4;DD/12/004491;DIR.SERV.SOCIALI;FATTURA
023367;ALA GOLDEN TOUR SRL;01909940510;1438,24;DD/12/004491;DIR.SERV.SOCIALI;FATTURA
023375;ALA GOLDEN TOUR SRL;01909940510;-449,5;DD/12/004491;DIR.SERV.SOCIALI;NOTA DI CREDITO
023375;ALA GOLDEN TOUR SRL;01909940510;2936,6;DD/12/004491;DIR.SERV.SOCIALI;FATTURA
023369;ALA GOLDEN TOUR SRL;01909940510;4683,98;DD/12/004491;DIR.SERV.SOCIALI;FATTURA
019141;ALA GOLDEN TOUR SRL;01909940510;612,54;DD/12/004491;DIR.SERV.SOCIALI;FATTURA
019141;ALA GOLDEN TOUR SRL;01909940510;413;DD/12/004491;DIR.SERV.SOCIALI;FATTURA
022198;A.L.A.BUS SRL;00121600514;35051,5;DD/12/006081;S.ATT.EDUC.E FORMAT.;FATTURA
022198;A.L.A.BUS SRL;00121600514;2997,5;DD/12/006081;S.ATT.EDUC.E FORMAT.;FATTURA
014582;ALAMBICCHI SOC. COOP SOCIALE;01802740975;10222,16;DD/11/010934;S.ATT.EDUC.E FORMAT.;FATTURA
014584;ALAMBICCHI SOC. COOP SOCIALE;01802740975;1232,11;DD/12/000862;S.ATT.EDUC.E FORMAT.;FATTURA
014583;ALAMBICCHI SOC. COOP SOCIALE;01802740975;7420,08;DD/11/010934;S.ATT.EDUC.E FORMAT.;FATTURA
014581;ALAMBICCHI SOC. COOP SOCIALE;01802740975;890,49;DD/12/001416;S.ATT.EDUC.E FORMAT.;FATTURA
023991;ALBERTOLUNA CONSULTING;07268211005;5000;DD/10/010493;SERV.BIBL.ARCH.EVENT;FATTURA
018726;ALBINI FEDERICO;04619450481;158,84;DD/12/007420;DIREZ. AVVOCATURA;FATTURA
021133;ALDERIGHI IMPIANTI S.R.L.;05013040489;203,96;DD/10/001593;SERV.GEST. E MANUT. (EX);FATTURA
013823;ALEPHLABORATORIO DI ARCHITETTURA;05480230480;6050;DD/12/001263;AREA COORD. SVIL. URBANO;FATTURA
020240;ALFA COSTRUZIONISRL;05589570489;28366,62;DD/12/000521;SUP.TECN.QUART.E IMP.SPOR;FATTURA
020440;ALFA COSTRUZIONISRL;05589570489;27,32;DD/12/000521;SUP.TECN.QUART.E IMP.SPOR;FATTURA
016585;ALFA COSTRUZIONISRL;05589570489;10000;DD/12/000521;SUP.TECN.QUART.E IMP.SPOR;FATTURA
016586;ALFA COSTRUZIONISRL;05589570489;16259,81;DD/12/000521;SUP.TECN.QUART.E IMP.SPOR;FATTURA
014067;ALFAREC  S.P.A.;00610691206;740,1;DD/11/011200;SERV.CENTR.ACQUISTI;FATTURA
023827;A.L.G. UTENSILERIA FERRAMENTADI MAIOLINI GIANNI E SANZO' ANTONIO;05976590488;498,7;DD/12/005839;SERV.BIBL.ARCH.EVENT;FATTURA
014585;ALOIGI GIACOMO;04873430484;358,47;DD/12/005932;DIREZ. AVVOCATURA;FATTURA
015458;ALOIGI GIACOMO;04873430484;102,81;DD/12/005932;DIREZ. AVVOCATURA;FATTURA
018261;ALTAMIRA ASSOCIAZIONE ECOCULTURALE;04153490489;6500,48;DD/12/000910;S.ATT.EDUC.E FORMAT.;FATTURA
018260;ALTAMIRA ASSOCIAZIONE ECOCULTURALE;04153490489;2099,52;DD/12/000910;S.ATT.EDUC.E FORMAT.;FATTURA
018261;ALTAMIRA ASSOCIAZIONE ECOCULTURALE;04153490489;8475;DD/12/000910;S.ATT.EDUC.E FORMAT.;FATTURA
016869;ALTERCOOP SOC.COOP. R.L.;02469810374;5759,6;DD/12/005341;SERV.CENTR.ACQUISTI;FATTURA
016906;ALTERINI BUS DI ALTERINI E C SAS;02048210484;550;DD/12/004651;DIR.SERV.SOCIALI;FATTURA
017850;AMICI DEL TURISMO S.R.L.;05910970481;250;DD/12/000667;UFFICIO DI GABINETTO;FATTURA
017775;AMICI DELLA TERRA FIRENZE - ONLUS;04904110485;1335;DD/12/004251;SERV.QUALITA' VERDE;FATTURA
017776;AMICI DELLA TERRA FIRENZE - ONLUS;04904110485;1000;DD/12/004251;SERV.QUALITA' VERDE;FATTURA
016494;AMICI DELLA TERRA FIRENZE - ONLUS;04904110485;1306,8;DD/11/001391;SERV.BIBL.ARCH.EVENT;FATTURA
022693;AMICI DELLA TERRA FIRENZE - ONLUS;04904110485;2548,26;DD/12/005893;SERV.QUARTIERI;FATTURA
023333;AMICI DELLA TERRA FIRENZE - ONLUS;04904110485;1000;DD/12/006603;SERV.QUALITA' VERDE;FATTURA
023332;AMICI DELLA TERRA FIRENZE - ONLUS;04904110485;2502,47;DD/12/006603;SERV.QUALITA' VERDE;FATTURA
014201;AMORINI S.R.L.;01979980545;2904;DD/12/002324;DIREZ.AMBIENTE;FATTURA
018421;ANCI TOSCANA;01710310978;7000;DD/12/007146;DIREZ. RISORSE UMANE;FATTURA
018023;ANCI-ASSOCIAZIONE NAZIONALE DEICOMUNI ITALIANI;80118510587;75000;DD/12/002634;DIR.SIST.INFORMATIVI;FATTURA
023009;ANCITEL S.P.A.;01718201005;471,6;DD/11/001450;SERV.GEST.INFRASTR.TECNOL;FATTURA
023009;ANCITEL S.P.A.;01718201005;471,6;DD/11/001450;SERV.GEST.INFRASTR.TECNOL;FATTURA
023009;ANCITEL S.P.A.;01718201005;471,6;DD/11/001450;SERV.GEST.INFRASTR.TECNOL;FATTURA
023009;ANCITEL S.P.A.;01718201005;471,6;DD/11/001450;SERV.GEST.INFRASTR.TECNOL;FATTURA
023009;ANCITEL S.P.A.;01718201005;471,6;DD/11/001450;SERV.GEST.INFRASTR.TECNOL;FATTURA
023009;ANCITEL S.P.A.;01718201005;471,6;DD/11/001450;SERV.GEST.INFRASTR.TECNOL;FATTURA
023009;ANCITEL S.P.A.;01718201005;471,6;DD/11/001450;SERV.GEST.INFRASTR.TECNOL;FATTURA
023009;ANCITEL S.P.A.;01718201005;1438,8;DD/11/001450;SERV.GEST.INFRASTR.TECNOL;FATTURA
016870;ANCITEL TOSCANA SRL;01966680975;7000;DD/12/005696;SERV.PROMOZ.ECON.TURISTIC;FATTURA
014673;A.N.I.M.O;05273190487;2000;DD/11/009612;DIREZ.ISTRUZIONE;FATTURA
018982;A.N.I.M.O;05273190487;1307,95;DD/12/002789;SERVIZI ALL'INFANZIA;FATTURA
019072;A.N.I.M.O;05273190487;1000;DD/12/002789;SERVIZI ALL'INFANZIA;FATTURA
019071;A.N.I.M.O;05273190487;1000;DD/11/009612;DIREZ.ISTRUZIONE;FATTURA
019804;ANSAAGENZIA NAZIONALE STAMPA ASSOCIATA;00876481003;10540,8;DD/11/009559;UFF.AFFARI GEN.E CERIM.;FATTURA
019804;ANSAAGENZIA NAZIONALE STAMPA ASSOCIATA;00876481003;10540,8;DD/11/009559;UFF.AFFARI GEN.E CERIM.;FATTURA
018721;ANSAAGENZIA NAZIONALE STAMPA ASSOCIATA;00876481003;10528,99;GC/87/004677;UFF.AFFARI GEN.E CERIM.;FATTURA
018721;ANSAAGENZIA NAZIONALE STAMPA ASSOCIATA;00876481003;10536,89;GC/87/004677;UFF.AFFARI GEN.E CERIM.;FATTURA
018722;ANSAAGENZIA NAZIONALE STAMPA ASSOCIATA;00876481003;7,9;DD/12/004968;UFF.AFFARI GEN.E CERIM.;FATTURA
021229;ANSAAGENZIA NAZIONALE STAMPA ASSOCIATA;00876481003;10540,8;DD/11/009559;UFF.AFFARI GEN.E CERIM.;FATTURA
022713;ANTINCENDIO OPLONTI S.A.S;03288741212;106,41;DD/12/000207;SERV.GEST. E MANUT. (EX);FATTURA
022716;ANTINCENDIO OPLONTI S.A.S;03288741212;194,7;DD/12/000207;SERV.GEST. E MANUT. (EX);FATTURA
022714;ANTINCENDIO OPLONTI S.A.S;03288741212;12520,09;DD/12/000207;SERV.GEST. E MANUT. (EX);FATTURA
022717;ANTINCENDIO OPLONTI S.A.S;03288741212;994,98;DD/12/000207;SERV.GEST. E MANUT. (EX);FATTURA
022715;ANTINCENDIO OPLONTI S.A.S;03288741212;1010,3;DD/12/000207;SERV.GEST. E MANUT. (EX);FATTURA
022711;ANTINCENDIO OPLONTI S.A.S;03288741212;446,07;DD/12/000207;SERV.GEST. E MANUT. (EX);FATTURA
022710;ANTINCENDIO OPLONTI S.A.S;03288741212;394,02;DD/12/000207;SERV.GEST. E MANUT. (EX);FATTURA
022709;ANTINCENDIO OPLONTI S.A.S;03288741212;1650,69;DD/12/000207;SERV.GEST. E MANUT. (EX);FATTURA
022708;ANTINCENDIO OPLONTI S.A.S;03288741212;10302,74;DD/12/000207;SERV.GEST. E MANUT. (EX);FATTURA
022712;ANTINCENDIO OPLONTI S.A.S;03288741212;172,13;DD/12/000207;SERV.GEST. E MANUT. (EX);FATTURA
018042;A.N.U.S.C.A. S.R.L.;01897431209;180;DD/12/005651;DIREZ. RISORSE UMANE;FATTURA
018905;AP SOFTWARE INFORMATICA SAS;04273620486;7260;DD/12/005322;SERV.GEST.INFRASTR.TECNOL;FATTURA
021659;APICE FIRENZE SRL;05323920487;13394,87;DD/12/004488;SERV. MUSEI COMUNALI;FATTURA
021663;APICE FIRENZE SRL;05323920487;9631,6;DD/12/004326;SERV. MUSEI COMUNALI;FATTURA
021658;APICE FIRENZE SRL;05323920487;2292,78;DD/12/004488;SERV. MUSEI COMUNALI;FATTURA
014174;AQUAA;02125521001;2400;DD/12/002192;DIREZ. RISORSE UMANE;FATTURA
013752;ARCA - ASSOCIAZIONE NAZIONALE DIPENDENTI ENEL;01730281001;726;DD/11/009869;S.ATT.EDUC.E FORMAT.;FATTURA
013752;ARCA - ASSOCIAZIONE NAZIONALE DIPENDENTI ENEL;01730281001;822,8;DD/11/009869;S.ATT.EDUC.E FORMAT.;FATTURA
013750;ARCA - ASSOCIAZIONE NAZIONALE DIPENDENTI ENEL;01730281001;169,4;DD/11/009869;S.ATT.EDUC.E FORMAT.;FATTURA
013754;ARCA - ASSOCIAZIONE NAZIONALE DIPENDENTI ENEL;01730281001;677,6;DD/11/009869;S.ATT.EDUC.E FORMAT.;FATTURA
019273;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;4789,94;DD/11/007803;SERV.BIBL.ARCH.EVENT;FATTURA
019245;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;6034,08;DD/12/004334;DIR.SERV.SOCIALI;FATTURA
015953;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;6034,08;DD/12/003305;DIR.SERV.SOCIALI;FATTURA
013952;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;8000;DD/11/011249;SERVIZI ALL'INFANZIA;FATTURA
013951;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;32000;DD/11/006817;SERVIZI ALL'INFANZIA;FATTURA
019983;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;32000;DD/11/006817;SERVIZI ALL'INFANZIA;FATTURA
022380;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;1230,54;DD/12/002689;SERVIZI ALL'INFANZIA;FATTURA
022381;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;30,4;DD/12/002689;SERVIZI ALL'INFANZIA;FATTURA
020484;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;26985,42;DD/12/006645;DIR.SERV.SOCIALI;FATTURA
020485;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;1490,99;DD/12/008423;DIR.SERV.SOCIALI;FATTURA
020613;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;5028,4;DD/12/005375;DIR.SERV.SOCIALI;FATTURA
020643;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;6034,08;DD/12/006504;DIR.SERV.SOCIALI;FATTURA
022732;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;8000;DD/12/007544;SERVIZI ALL'INFANZIA;FATTURA
023022;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;5536,91;DD/11/007803;SERV.BIBL.ARCH.EVENT;FATTURA
015249;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;26985,42;DD/12/004475;DIR.SERV.SOCIALI;FATTURA
015457;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;4763,88;DD/11/007803;SERV.BIBL.ARCH.EVENT;FATTURA
015624;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;4836,95;DD/11/007803;SERV.BIBL.ARCH.EVENT;FATTURA
015563;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;6034,08;DD/12/000996;DIR.SERV.SOCIALI;FATTURA
015613;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;4460,89;DD/11/007803;SERV.BIBL.ARCH.EVENT;FATTURA
015527;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;32000;DD/11/006817;SERVIZI ALL'INFANZIA;FATTURA
015528;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;8000;DD/11/011249;SERVIZI ALL'INFANZIA;FATTURA
021302;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;4362,45;DD/12/005724;SERVIZI ALL'INFANZIA;FATTURA
023127;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;26985,42;DD/12/007595;DIR.SERV.SOCIALI;FATTURA
023128;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;28050,25;DD/12/008423;DIR.SERV.SOCIALI;FATTURA
013634;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;27520,85;DD/12/003535;DIR.SERV.SOCIALI;FATTURA
013642;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;9715,88;DD/11/007265;SERVIZI ALL'INFANZIA;FATTURA
015643;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;26985,42;DD/12/005412;DIR.SERV.SOCIALI;FATTURA
023285;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;3017,04;DD/12/007031;DIR.SERV.SOCIALI;FATTURA
023298;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;6034,08;DD/12/007982;DIR.SERV.SOCIALI;FATTURA
013682;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;26449,99;DD/12/002267;DIR.SERV.SOCIALI;FATTURA
016897;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;2300;DD/12/002689;SERVIZI ALL'INFANZIA;FATTURA
016898;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;540;DD/12/002689;SERVIZI ALL'INFANZIA;FATTURA
015752;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;3290,87;DD/11/007803;SERV.BIBL.ARCH.EVENT;FATTURA
021487;ARCA COOPERATIVA SOCIALE A R.L.;03382330482;57213,09;DD/11/006817;SERVIZI ALL'INFANZIA;FATTURA
020065;ARCA COOP.SOCIALE CASA SASSUOLO;03382330482;13571,43;DD/12/006505;S.FAMIGLIA E ACCOGL.;FATTURA
016753;ARCA COOP.SOCIALE CASA SASSUOLO;03382330482;13571,43;DD/12/004060;S.FAMIGLIA E ACCOGL.;FATTURA
016731;ARCA COOP.SOCIALE CASA SASSUOLO;03382330482;13133,64;DD/11/011159;S.FAMIGLIA E ACCOGL.;FATTURA
021153;ARCA COOP.SOCIALE CASA SASSUOLO;03382330482;13264,99;DD/12/007210;S.FAMIGLIA E ACCOGL.;FATTURA
021153;ARCA COOP.SOCIALE CASA SASSUOLO;03382330482;13461,97;DD/12/007210;S.FAMIGLIA E ACCOGL.;FATTURA
013597;ARCA COOP.SOCIALE CASA SASSUOLO;03382330482;13133,64;DD/12/002800;S.FAMIGLIA E ACCOGL.;FATTURA
013596;ARCA COOP.SOCIALE CASA SASSUOLO;03382330482;12958,52;DD/12/001659;S.FAMIGLIA E ACCOGL.;FATTURA
020066;ARCA COOP.SOCIALE IL MANDORLO;03382330482;2657,54;DD/12/006505;S.FAMIGLIA E ACCOGL.;FATTURA
016732;ARCA COOP.SOCIALE IL MANDORLO;03382330482;2571,82;DD/11/011159;S.FAMIGLIA E ACCOGL.;FATTURA
016754;ARCA COOP.SOCIALE IL MANDORLO;03382330482;2657,54;DD/12/004060;S.FAMIGLIA E ACCOGL.;FATTURA
021154;ARCA COOP.SOCIALE IL MANDORLO;03382330482;2571,82;DD/12/007210;S.FAMIGLIA E ACCOGL.;FATTURA
021154;ARCA COOP.SOCIALE IL MANDORLO;03382330482;2657,54;DD/12/007210;S.FAMIGLIA E ACCOGL.;FATTURA
013601;ARCA COOP.SOCIALE IL MANDORLO;03382330482;2694,85;DD/12/002800;S.FAMIGLIA E ACCOGL.;FATTURA
013600;ARCA COOP.SOCIALE IL MANDORLO;03382330482;2615,63;DD/12/001659;S.FAMIGLIA E ACCOGL.;FATTURA
014051;ARCHIVI ROBOTICA;00300990975;3630;DD/11/010372;UFF.SEG.GEN.AFF.ISTITUZ.;FATTURA
014052;ARCHIVI ROBOTICA;00300990975;1280,71;DD/12/005486;UFF.SEG.GEN.AFF.ISTITUZ.;FATTURA
022765;ARCHIVI ROBOTICA;00300990975;3630;DD/11/010372;UFF.SEG.GEN.AFF.ISTITUZ.;FATTURA
013853;ARCI COMITATO TERRITORIALEDI FIRENZE;03923680486;-900;DD/12/001478;S.FAMIGLIA E ACCOGL.;NOTA DI CREDITO
013853;ARCI COMITATO TERRITORIALEDI FIRENZE;03923680486;2875;DD/12/001478;S.FAMIGLIA E ACCOGL.;FATTURA
019834;ARCI COMITATO TERRITORIALEDI FIRENZE;03923680486;1975;DD/12/006501;S.FAMIGLIA E ACCOGL.;FATTURA
019833;ARCI COMITATO TERRITORIALEDI FIRENZE;03923680486;1975;DD/12/005140;S.FAMIGLIA E ACCOGL.;FATTURA
