ID_COMM;PARTITA_IVA_O_CF;BENEFICIARIO;COD_DIREZIONE;DIREZIONE_SERVIZIO_RESP_PROC;IMPORTO;DOCUMENTO;TIPO_ATTO_IMPEGNO;NUMERO_ATTO_IMPEGNO;ANNO_COMMISSIONE;ANNO_PAGAMENTO;DIFFERENZA_PAGAMENTO_COMMISSIONE
21;03555130487;A.C.F. FIRENZE A.S.D;68;SERVIZIO SPORT;445;FATTURA;DD;002127;2012;2012;0
22;03555130487;A.C.F. FIRENZE A.S.D;68;SERVIZIO SPORT;650;FATTURA;DD;001594;2012;2012;0
23;03555130487;A.C.F. FIRENZE A.S.D;68;SERVIZIO SPORT;650;FATTURA;DD;001051;2012;2012;0
24;04094120484;ACS AUTOMATISMIDI TURCHI MONICA;48;SERV.GEST. E MANUT. (EX);1041;FATTURA;DD;005726;2011;2012;1
25;04094120484;ACS AUTOMATISMIDI TURCHI MONICA;48;SERV.GEST. E MANUT. (EX);13163;FATTURA;DD;000291;2012;2012;0
26;04094120484;ACS AUTOMATISMIDI TURCHI MONICA;48;SERV.GEST. E MANUT. (EX);1322;FATTURA;DD;000305;2012;2012;0
27;04094120484;ACS AUTOMATISMIDI TURCHI MONICA;48;SERV.GEST. E MANUT. (EX);763;FATTURA;DD;000305;2012;2012;0
28;04094120484;ACS AUTOMATISMIDI TURCHI MONICA;48;SERV.GEST. E MANUT. (EX);2397;FATTURA;DD;000305;2012;2012;0
29;04094120484;ACS AUTOMATISMIDI TURCHI MONICA;48;SERV.GEST. E MANUT. (EX);704;FATTURA;DD;000305;2012;2012;0
30;04094120484;ACS AUTOMATISMIDI TURCHI MONICA;48;SERV.GEST. E MANUT. (EX);1098;FATTURA;DD;000305;2012;2012;0
31;03358520967;ACTALIS S.P.A.;12;DIR.SIST.INFORMATIVI;529;FATTURA;DD;001750;2012;2012;0
32;03358520967;ACTALIS S.P.A.;12;DIR.SIST.INFORMATIVI;6273;FATTURA;DD;001750;2012;2012;0
33;01067020527;ADARTE ASSOCIAZIONE DANZA ARTETEATRO;28;S.ATT.EDUC.E FORMAT.;2649;FATTURA;DD;010002;2011;2012;1
34;05439000489;Ad.D  Advertising DistributionADVERTISING DISTRIBUTION;43;SERV.BIBL.ARCH.EVENT;278;FATTURA;DD;009454;2012;2012;0
35;00890370372;ADS S.P.A.;12;DIR.SIST.INFORMATIVI;15125;FATTURA;DD;012716;2007;2012;5
36;00890370372;ADS S.P.A.;14;DIREZ. RISORSE UMANE;2197;FATTURA;DD;008920;2007;2012;5
37;00890370372;ADS S.P.A.;12;DIR.SIST.INFORMATIVI;90495;FATTURA;DD;004576;2012;2012;0
38;00890370372;ADS S.P.A.;14;DIREZ. RISORSE UMANE;700;FATTURA;DD;011832;2010;2012;2
39;10804070158;AESSE MISURE SRL;5;DIR.CORPO POLIZ.MUN.;411;FATTURA;DD;007223;2012;2012;0
40;04006490488;AFFITTACAMERE VANNUCCI MARTA;30;S.FAMIGLIA E ACCOGL.;400;FATTURA;DD;006386;2012;2012;0
41;04006490488;AFFITTACAMERE VANNUCCI MARTA;30;S.FAMIGLIA E ACCOGL.;400;FATTURA;DD;006326;2012;2012;0
42;04006490488;AFFITTACAMERE VANNUCCI MARTA;10;DIR.SERV.SOCIALI;400;FATTURA;DD;006326;2012;2012;0
43;04006490488;AFFITTACAMERE VANNUCCI MARTA;10;DIR.SERV.SOCIALI;400;FATTURA;DD;006326;2012;2012;0
44;04006490488;AFFITTACAMERE VANNUCCI MARTA;30;S.FAMIGLIA E ACCOGL.;400;FATTURA;DD;007207;2012;2012;0
45;04006490488;AFFITTACAMERE VANNUCCI MARTA;30;S.FAMIGLIA E ACCOGL.;400;FATTURA;DD;008037;2012;2012;0
46;94021150480;AGENZIA DELLE ENTRATE DI FIRENZE;38;SER.CONTRATTI APPALTI;168;FATTURA;DD;000227;2012;2012;0
47;05181410480;AGENZIA PER LO SVILUPPO DELL'EMPOLESE VALDELSA;36;S.SUPPORTO AMM/CONT.;1070;FATTURA;DD;005260;2012;2012;0
48;05503750480;AGENZIA STUDENTESCA AUTOGESTITA;30;S.FAMIGLIA E ACCOGL.;8000;FATTURA;DD;010139;2012;2012;0
49;05609300487;AGLIETTI VIVAI FIRENZE;56;SERV.QUALITA' VERDE;1977;FATTURA;DD;007588;2012;2012;0
50;05609300487;AGLIETTI VIVAI FIRENZE;56;SERV.QUALITA' VERDE;84;FATTURA;DD;004075;2012;2012;0
51;05609300487;AGLIETTI VIVAI FIRENZE;56;SERV.QUALITA' VERDE;16885;FATTURA;DD;004075;2012;2012;0
52;01604330488;AGRI S.R.L.;8;DIR.PATR.IMMOBILIARE;63013;FATTURA;DD;011187;2011;2012;1
53;03090900238;AGRICENTER S.R.L.;44;SERV.CENTR.ACQUISTI;1403;FATTURA;DD;001289;2012;2012;0
54;01011270285;AGRILUCE S.R.L.;40;SERV SUPPORTO SCUOLA;507;FATTURA;DD;010465;2011;2012;1
55;01011270285;AGRILUCE S.R.L.;40;SERV SUPPORTO SCUOLA;1268;FATTURA;DD;010465;2011;2012;1
56;01011270285;AGRILUCE S.R.L.;40;SERV SUPPORTO SCUOLA;1268;FATTURA;DD;010465;2011;2012;1
57;04652060486;AICS COMITATO PROVINCIALE FIRENZE;18;DIREZ.ISTRUZIONE;9600;FATTURA;DD;010656;2011;2012;1
58;94123070487;AIDAI TOSCANA;28;S.ATT.EDUC.E FORMAT.;1400;FATTURA;DD;010641;2011;2012;1
59;94123070487;AIDAI TOSCANA;28;S.ATT.EDUC.E FORMAT.;1000;FATTURA;DD;010641;2011;2012;1
60;94123070487;AIDAI TOSCANA;28;S.ATT.EDUC.E FORMAT.;204;FATTURA;DD;011625;2009;2012;3
61;94123070487;AIDAI TOSCANA;28;S.ATT.EDUC.E FORMAT.;195;FATTURA;DD;011625;2009;2012;3
62;94123070487;AIDAI TOSCANA;28;S.ATT.EDUC.E FORMAT.;2160;FATTURA;DD;011625;2009;2012;3
63;94123070487;AIDAI TOSCANA;28;S.ATT.EDUC.E FORMAT.;1280;FATTURA;DD;010236;2010;2012;2
64;94123070487;AIDAI TOSCANA;28;S.ATT.EDUC.E FORMAT.;3559;FATTURA;DD;010641;2011;2012;1
65;03433360488;AL PORTICO DI VENTURI MAURIZIAI FIORI DELLA SIGNORIA;71;UFF.AFFARI GEN.E CERIM.;264;FATTURA;DD;005959;2012;2012;0
66;03433360488;AL PORTICO DI VENTURI MAURIZIAI FIORI DELLA SIGNORIA;71;UFF.AFFARI GEN.E CERIM.;143;FATTURA;DD;005959;2012;2012;0
67;03433360488;AL PORTICO DI VENTURI MAURIZIAI FIORI DELLA SIGNORIA;71;UFF.AFFARI GEN.E CERIM.;143;FATTURA;DD;005959;2012;2012;0
68;03433360488;AL PORTICO DI VENTURI MAURIZIAI FIORI DELLA SIGNORIA;71;UFF.AFFARI GEN.E CERIM.;132;FATTURA;DD;008308;2012;2012;0
69;03433360488;AL PORTICO DI VENTURI MAURIZIAI FIORI DELLA SIGNORIA;71;UFF.AFFARI GEN.E CERIM.;176;FATTURA;DD;005959;2012;2012;0
70;03433360488;AL PORTICO DI VENTURI MAURIZIAI FIORI DELLA SIGNORIA;76;UFFICIO DI GABINETTO;429;FATTURA;DD;005116;2012;2012;0
71;01909940510;ALA GOLDEN TOUR SRL;10;DIR.SERV.SOCIALI;-510;NOTA DI CREDITO;DD;004491;2012;2012;0
72;01909940510;ALA GOLDEN TOUR SRL;10;DIR.SERV.SOCIALI;848;FATTURA;DD;004491;2012;2012;0
73;01909940510;ALA GOLDEN TOUR SRL;10;DIR.SERV.SOCIALI;4743;FATTURA;DD;004491;2012;2012;0
74;01909940510;ALA GOLDEN TOUR SRL;10;DIR.SERV.SOCIALI;4012;FATTURA;DD;004491;2012;2012;0
75;01909940510;ALA GOLDEN TOUR SRL;10;DIR.SERV.SOCIALI;3096;FATTURA;DD;004491;2012;2012;0
76;01909940510;ALA GOLDEN TOUR SRL;10;DIR.SERV.SOCIALI;-175;NOTA DI CREDITO;DD;004491;2012;2012;0
77;01909940510;ALA GOLDEN TOUR SRL;10;DIR.SERV.SOCIALI;2514;FATTURA;DD;004491;2012;2012;0
78;01909940510;ALA GOLDEN TOUR SRL;10;DIR.SERV.SOCIALI;979;FATTURA;DD;004491;2012;2012;0
79;01909940510;ALA GOLDEN TOUR SRL;10;DIR.SERV.SOCIALI;1438;FATTURA;DD;004491;2012;2012;0
80;01909940510;ALA GOLDEN TOUR SRL;10;DIR.SERV.SOCIALI;-449;NOTA DI CREDITO;DD;004491;2012;2012;0
81;01909940510;ALA GOLDEN TOUR SRL;10;DIR.SERV.SOCIALI;2936;FATTURA;DD;004491;2012;2012;0
82;01909940510;ALA GOLDEN TOUR SRL;10;DIR.SERV.SOCIALI;4683;FATTURA;DD;004491;2012;2012;0
83;01909940510;ALA GOLDEN TOUR SRL;10;DIR.SERV.SOCIALI;612;FATTURA;DD;004491;2012;2012;0
84;01909940510;ALA GOLDEN TOUR SRL;10;DIR.SERV.SOCIALI;413;FATTURA;DD;004491;2012;2012;0
85;00121600514;A.L.A.BUS SRL;28;S.ATT.EDUC.E FORMAT.;35051;FATTURA;DD;006081;2012;2012;0
86;00121600514;A.L.A.BUS SRL;28;S.ATT.EDUC.E FORMAT.;2997;FATTURA;DD;006081;2012;2012;0
87;01802740975;ALAMBICCHI SOC. COOP SOCIALE;28;S.ATT.EDUC.E FORMAT.;10222;FATTURA;DD;010934;2011;2012;1
88;01802740975;ALAMBICCHI SOC. COOP SOCIALE;28;S.ATT.EDUC.E FORMAT.;1232;FATTURA;DD;000862;2012;2012;0
89;01802740975;ALAMBICCHI SOC. COOP SOCIALE;28;S.ATT.EDUC.E FORMAT.;7420;FATTURA;DD;010934;2011;2012;1
90;01802740975;ALAMBICCHI SOC. COOP SOCIALE;28;S.ATT.EDUC.E FORMAT.;890;FATTURA;DD;001416;2012;2012;0
91;07268211005;ALBERTOLUNA CONSULTING;43;SERV.BIBL.ARCH.EVENT;5000;FATTURA;DD;010493;2010;2012;2
92;04619450481;ALBINI FEDERICO;13;DIREZ. AVVOCATURA;158;FATTURA;DD;007420;2012;2012;0
93;05013040489;ALDERIGHI IMPIANTI S.R.L.;48;SERV.GEST. E MANUT. (EX);203;FATTURA;DD;001593;2010;2012;2
94;05480230480;ALEPHLABORATORIO DI ARCHITETTURA;1;AREA COORD. SVIL. URBANO;6050;FATTURA;DD;001263;2012;2012;0
95;05589570489;ALFA COSTRUZIONISRL;69;SUP.TECN.QUART.E IMP.SPOR;28366;FATTURA;DD;000521;2012;2012;0
96;05589570489;ALFA COSTRUZIONISRL;69;SUP.TECN.QUART.E IMP.SPOR;27;FATTURA;DD;000521;2012;2012;0
97;05589570489;ALFA COSTRUZIONISRL;69;SUP.TECN.QUART.E IMP.SPOR;10000;FATTURA;DD;000521;2012;2012;0
98;05589570489;ALFA COSTRUZIONISRL;69;SUP.TECN.QUART.E IMP.SPOR;16259;FATTURA;DD;000521;2012;2012;0
99;00610691206;ALFAREC  S.P.A.;44;SERV.CENTR.ACQUISTI;740;FATTURA;DD;011200;2011;2012;1
100;05976590488;A.L.G. UTENSILERIA FERRAMENTADI MAIOLINI GIANNI E SANZO' ANTONIO;43;SERV.BIBL.ARCH.EVENT;498;FATTURA;DD;005839;2012;2012;0
101;04873430484;ALOIGI GIACOMO;13;DIREZ. AVVOCATURA;358;FATTURA;DD;005932;2012;2012;0
102;04873430484;ALOIGI GIACOMO;13;DIREZ. AVVOCATURA;102;FATTURA;DD;005932;2012;2012;0
103;04153490489;ALTAMIRA ASSOCIAZIONE ECOCULTURALE;28;S.ATT.EDUC.E FORMAT.;6500;FATTURA;DD;000910;2012;2012;0
104;04153490489;ALTAMIRA ASSOCIAZIONE ECOCULTURALE;28;S.ATT.EDUC.E FORMAT.;2099;FATTURA;DD;000910;2012;2012;0
105;04153490489;ALTAMIRA ASSOCIAZIONE ECOCULTURALE;28;S.ATT.EDUC.E FORMAT.;8475;FATTURA;DD;000910;2012;2012;0
106;02469810374;ALTERCOOP SOC.COOP. R.L.;44;SERV.CENTR.ACQUISTI;5759;FATTURA;DD;005341;2012;2012;0
107;02048210484;ALTERINI BUS DI ALTERINI E C SAS;10;DIR.SERV.SOCIALI;550;FATTURA;DD;004651;2012;2012;0
108;05910970481;AMICI DEL TURISMO S.R.L.;76;UFFICIO DI GABINETTO;250;FATTURA;DD;000667;2012;2012;0
109;04904110485;AMICI DELLA TERRA FIRENZE - ONLUS;56;SERV.QUALITA' VERDE;1335;FATTURA;DD;004251;2012;2012;0
110;04904110485;AMICI DELLA TERRA FIRENZE - ONLUS;56;SERV.QUALITA' VERDE;1000;FATTURA;DD;004251;2012;2012;0
111;04904110485;AMICI DELLA TERRA FIRENZE - ONLUS;43;SERV.BIBL.ARCH.EVENT;1306;FATTURA;DD;001391;2011;2012;1
112;04904110485;AMICI DELLA TERRA FIRENZE - ONLUS;57;SERV.QUARTIERI;2548;FATTURA;DD;005893;2012;2012;0
113;04904110485;AMICI DELLA TERRA FIRENZE - ONLUS;56;SERV.QUALITA' VERDE;1000;FATTURA;DD;006603;2012;2012;0
114;04904110485;AMICI DELLA TERRA FIRENZE - ONLUS;56;SERV.QUALITA' VERDE;2502;FATTURA;DD;006603;2012;2012;0
115;01979980545;AMORINI S.R.L.;15;DIREZ.AMBIENTE;2904;FATTURA;DD;002324;2012;2012;0
116;01710310978;ANCI TOSCANA;14;DIREZ. RISORSE UMANE;7000;FATTURA;DD;007146;2012;2012;0
117;80118510587;ANCI-ASSOCIAZIONE NAZIONALE DEICOMUNI ITALIANI;12;DIR.SIST.INFORMATIVI;75000;FATTURA;DD;002634;2012;2012;0
118;01718201005;ANCITEL S.P.A.;50;SERV.GEST.INFRASTR.TECNOL;471;FATTURA;DD;001450;2011;2012;1
119;01718201005;ANCITEL S.P.A.;50;SERV.GEST.INFRASTR.TECNOL;471;FATTURA;DD;001450;2011;2012;1
120;01718201005;ANCITEL S.P.A.;50;SERV.GEST.INFRASTR.TECNOL;471;FATTURA;DD;001450;2011;2012;1
121;01718201005;ANCITEL S.P.A.;50;SERV.GEST.INFRASTR.TECNOL;471;FATTURA;DD;001450;2011;2012;1
122;01718201005;ANCITEL S.P.A.;50;SERV.GEST.INFRASTR.TECNOL;471;FATTURA;DD;001450;2011;2012;1
123;01718201005;ANCITEL S.P.A.;50;SERV.GEST.INFRASTR.TECNOL;471;FATTURA;DD;001450;2011;2012;1
124;01718201005;ANCITEL S.P.A.;50;SERV.GEST.INFRASTR.TECNOL;471;FATTURA;DD;001450;2011;2012;1
125;01718201005;ANCITEL S.P.A.;50;SERV.GEST.INFRASTR.TECNOL;1438;FATTURA;DD;001450;2011;2012;1
126;01966680975;ANCITEL TOSCANA SRL;55;SERV.PROMOZ.ECON.TURISTIC;7000;FATTURA;DD;005696;2012;2012;0
127;05273190487;A.N.I.M.O;18;DIREZ.ISTRUZIONE;2000;FATTURA;DD;009612;2011;2012;1
128;05273190487;A.N.I.M.O;65;SERVIZI ALL'INFANZIA;1307;FATTURA;DD;002789;2012;2012;0
129;05273190487;A.N.I.M.O;65;SERVIZI ALL'INFANZIA;1000;FATTURA;DD;002789;2012;2012;0
130;05273190487;A.N.I.M.O;18;DIREZ.ISTRUZIONE;1000;FATTURA;DD;009612;2011;2012;1
131;00876481003;ANSAAGENZIA NAZIONALE STAMPA ASSOCIATA;71;UFF.AFFARI GEN.E CERIM.;10540;FATTURA;DD;009559;2011;2012;1
132;00876481003;ANSAAGENZIA NAZIONALE STAMPA ASSOCIATA;71;UFF.AFFARI GEN.E CERIM.;10540;FATTURA;DD;009559;2011;2012;1
133;00876481003;ANSAAGENZIA NAZIONALE STAMPA ASSOCIATA;71;UFF.AFFARI GEN.E CERIM.;10528;FATTURA;GC;004677;1987;2012;25
134;00876481003;ANSAAGENZIA NAZIONALE STAMPA ASSOCIATA;71;UFF.AFFARI GEN.E CERIM.;10536;FATTURA;GC;004677;1987;2012;25
135;00876481003;ANSAAGENZIA NAZIONALE STAMPA ASSOCIATA;71;UFF.AFFARI GEN.E CERIM.;7;FATTURA;DD;004968;2012;2012;0
136;00876481003;ANSAAGENZIA NAZIONALE STAMPA ASSOCIATA;71;UFF.AFFARI GEN.E CERIM.;10540;FATTURA;DD;009559;2011;2012;1
137;03288741212;ANTINCENDIO OPLONTI S.A.S;48;SERV.GEST. E MANUT. (EX);106;FATTURA;DD;000207;2012;2012;0
138;03288741212;ANTINCENDIO OPLONTI S.A.S;48;SERV.GEST. E MANUT. (EX);194;FATTURA;DD;000207;2012;2012;0
139;03288741212;ANTINCENDIO OPLONTI S.A.S;48;SERV.GEST. E MANUT. (EX);12520;FATTURA;DD;000207;2012;2012;0
140;03288741212;ANTINCENDIO OPLONTI S.A.S;48;SERV.GEST. E MANUT. (EX);994;FATTURA;DD;000207;2012;2012;0
141;03288741212;ANTINCENDIO OPLONTI S.A.S;48;SERV.GEST. E MANUT. (EX);1010;FATTURA;DD;000207;2012;2012;0
142;03288741212;ANTINCENDIO OPLONTI S.A.S;48;SERV.GEST. E MANUT. (EX);446;FATTURA;DD;000207;2012;2012;0
143;03288741212;ANTINCENDIO OPLONTI S.A.S;48;SERV.GEST. E MANUT. (EX);394;FATTURA;DD;000207;2012;2012;0
144;03288741212;ANTINCENDIO OPLONTI S.A.S;48;SERV.GEST. E MANUT. (EX);1650;FATTURA;DD;000207;2012;2012;0
145;03288741212;ANTINCENDIO OPLONTI S.A.S;48;SERV.GEST. E MANUT. (EX);10302;FATTURA;DD;000207;2012;2012;0
146;03288741212;ANTINCENDIO OPLONTI S.A.S;48;SERV.GEST. E MANUT. (EX);172;FATTURA;DD;000207;2012;2012;0
147;01897431209;A.N.U.S.C.A. S.R.L.;14;DIREZ. RISORSE UMANE;180;FATTURA;DD;005651;2012;2012;0
148;04273620486;AP SOFTWARE INFORMATICA SAS;50;SERV.GEST.INFRASTR.TECNOL;7260;FATTURA;DD;005322;2012;2012;0
149;05323920487;APICE FIRENZE SRL;41;SERV. MUSEI COMUNALI;13394;FATTURA;DD;004488;2012;2012;0
150;05323920487;APICE FIRENZE SRL;41;SERV. MUSEI COMUNALI;9631;FATTURA;DD;004326;2012;2012;0
151;05323920487;APICE FIRENZE SRL;41;SERV. MUSEI COMUNALI;2292;FATTURA;DD;004488;2012;2012;0
152;02125521001;AQUAA;14;DIREZ. RISORSE UMANE;2400;FATTURA;DD;002192;2012;2012;0
153;01730281001;ARCA - ASSOCIAZIONE NAZIONALE DIPENDENTI ENEL;28;S.ATT.EDUC.E FORMAT.;726;FATTURA;DD;009869;2011;2012;1
154;01730281001;ARCA - ASSOCIAZIONE NAZIONALE DIPENDENTI ENEL;28;S.ATT.EDUC.E FORMAT.;822;FATTURA;DD;009869;2011;2012;1
155;01730281001;ARCA - ASSOCIAZIONE NAZIONALE DIPENDENTI ENEL;28;S.ATT.EDUC.E FORMAT.;169;FATTURA;DD;009869;2011;2012;1
156;01730281001;ARCA - ASSOCIAZIONE NAZIONALE DIPENDENTI ENEL;28;S.ATT.EDUC.E FORMAT.;677;FATTURA;DD;009869;2011;2012;1
157;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;43;SERV.BIBL.ARCH.EVENT;4789;FATTURA;DD;007803;2011;2012;1
158;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;6034;FATTURA;DD;004334;2012;2012;0
159;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;6034;FATTURA;DD;003305;2012;2012;0
160;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;65;SERVIZI ALL'INFANZIA;8000;FATTURA;DD;011249;2011;2012;1
161;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;65;SERVIZI ALL'INFANZIA;32000;FATTURA;DD;006817;2011;2012;1
162;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;65;SERVIZI ALL'INFANZIA;32000;FATTURA;DD;006817;2011;2012;1
163;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;65;SERVIZI ALL'INFANZIA;1230;FATTURA;DD;002689;2012;2012;0
164;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;65;SERVIZI ALL'INFANZIA;30;FATTURA;DD;002689;2012;2012;0
165;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;26985;FATTURA;DD;006645;2012;2012;0
166;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;1490;FATTURA;DD;008423;2012;2012;0
167;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;5028;FATTURA;DD;005375;2012;2012;0
168;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;6034;FATTURA;DD;006504;2012;2012;0
169;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;65;SERVIZI ALL'INFANZIA;8000;FATTURA;DD;007544;2012;2012;0
170;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;43;SERV.BIBL.ARCH.EVENT;5536;FATTURA;DD;007803;2011;2012;1
171;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;26985;FATTURA;DD;004475;2012;2012;0
172;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;43;SERV.BIBL.ARCH.EVENT;4763;FATTURA;DD;007803;2011;2012;1
173;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;43;SERV.BIBL.ARCH.EVENT;4836;FATTURA;DD;007803;2011;2012;1
174;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;6034;FATTURA;DD;000996;2012;2012;0
175;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;43;SERV.BIBL.ARCH.EVENT;4460;FATTURA;DD;007803;2011;2012;1
176;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;65;SERVIZI ALL'INFANZIA;32000;FATTURA;DD;006817;2011;2012;1
177;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;65;SERVIZI ALL'INFANZIA;8000;FATTURA;DD;011249;2011;2012;1
178;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;65;SERVIZI ALL'INFANZIA;4362;FATTURA;DD;005724;2012;2012;0
179;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;26985;FATTURA;DD;007595;2012;2012;0
180;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;28050;FATTURA;DD;008423;2012;2012;0
181;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;27520;FATTURA;DD;003535;2012;2012;0
182;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;65;SERVIZI ALL'INFANZIA;9715;FATTURA;DD;007265;2011;2012;1
183;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;26985;FATTURA;DD;005412;2012;2012;0
184;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;3017;FATTURA;DD;007031;2012;2012;0
185;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;6034;FATTURA;DD;007982;2012;2012;0
186;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;10;DIR.SERV.SOCIALI;26449;FATTURA;DD;002267;2012;2012;0
187;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;65;SERVIZI ALL'INFANZIA;2300;FATTURA;DD;002689;2012;2012;0
188;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;65;SERVIZI ALL'INFANZIA;540;FATTURA;DD;002689;2012;2012;0
189;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;43;SERV.BIBL.ARCH.EVENT;3290;FATTURA;DD;007803;2011;2012;1
190;03382330482;ARCA COOPERATIVA SOCIALE A R.L.;65;SERVIZI ALL'INFANZIA;57213;FATTURA;DD;006817;2011;2012;1
191;03382330482;ARCA COOP.SOCIALE CASA SASSUOLO;30;S.FAMIGLIA E ACCOGL.;13571;FATTURA;DD;006505;2012;2012;0
192;03382330482;ARCA COOP.SOCIALE CASA SASSUOLO;30;S.FAMIGLIA E ACCOGL.;13571;FATTURA;DD;004060;2012;2012;0
193;03382330482;ARCA COOP.SOCIALE CASA SASSUOLO;30;S.FAMIGLIA E ACCOGL.;13133;FATTURA;DD;011159;2011;2012;1
